name,address,phone,website,latitude,longitude,rating,userRatingsTotal,price_info,opening_hours,businessStatus,searchCity,placeId,googleMapsUrl,types,vicinity
エニタイムフィットネス 岡山今店,日本、〒700-0975 岡山県岡山市北区今２丁目１−２５,086-241-1505,https://www.anytimefitness.co.jp/okayamaima/,34.6500947,133.8970643,3.2,59,,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,OPERATIONAL,岡山県,ChIJt9CdWrYHVDUR7WkLw2iOfLA,https://maps.google.com/?cid=12717196028387486189,"establishment, point_of_interest, health, gym",岡山市北区今２丁目１−２５
エニタイムフィットネス 岡山益野店,日本、〒704-8175 岡山県岡山市東区益野町１５−１ 1F 2F,086-206-6922,https://www.anytimefitness.co.jp/okayamamasuno/,34.6587268,133.9971228,3.8,18,,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,OPERATIONAL,岡山県,ChIJrx6DzsAJVDURFL28c-tuDq8,https://maps.google.com/?cid=12614141563849456916,"point_of_interest, establishment, health, gym",岡山市東区益野町１５−１ 1F 2F
エニタイムフィットネス岡山バイパス妹尾店,日本、〒701-0203 岡山県岡山市南区古新田１１２５ ２階,086-239-5275,https://www.anytimefitness.co.jp/okayamabypass-senoo/,34.6226275,133.8713931,4.1,12,,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,OPERATIONAL,岡山県,ChIJUa5Rd7b5UzURh-tYXlQyyD0,https://maps.google.com/?cid=4451863569597262727,"establishment, health, point_of_interest, gym",岡山市南区古新田１１２５ ２階
エニタイムフィットネス 倉敷笹沖店,日本、〒710-0834 岡山県倉敷市笹沖１２４０−３,086-454-8112,https://www.anytimefitness.co.jp/kurashikisasaoki/,34.5799575,133.7690111,3.9,64,,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,OPERATIONAL,岡山県,ChIJRQU5TEJXUTURn69pBmEvnOo,https://maps.google.com/?cid=16905439195007922079,"spa, gym, health, establishment, point_of_interest",倉敷市笹沖１２４０−３
エニタイムフィットネス 倉敷中島店,日本、〒710-0803 岡山県倉敷市中島２５２,086-441-6194,https://www.anytimefitness.co.jp/kurashikinakashima/?shop=201908,34.5852126,133.7408422,4.1,17,,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,OPERATIONAL,岡山県,ChIJfxhj2r1XUTUR1DgSuGp-g18,https://maps.google.com/?cid=6882483652372084948,"establishment, health, gym, point_of_interest",倉敷市中島２５２
